date;temp_max_anos;temp_min_anos;temp_media_anos;precipitacao_anos
13/11/2020;31.0;29.0;30.0;1.0
14/11/2020;29.0;28.333.333.333.333.300;28.666.666.666.666.600;0.0
15/11/2020;29.0;26.0;27.416.666.666.666.600;0.0
16/11/2020;30.0;27.5;28.7;0.0
17/11/2020;27.333.333.333.333.300;25.333.333.333.333.300;26.5;0.8
18/11/2020;28.666.666.666.666.600;27.0;2.763.888.888.888.880;0.0
19/11/2020;28.75;27.75;28.291.666.666.666.600;0.0
20/11/2020;29.25;26.5;27.975;0.0
21/11/2020;28.5;26.75;27.395.833.333.333.300;0.0
22/11/2020;27.75;26.5;27.166.666.666.666.600;0.0
23/11/2020;27.0;25.25;260.625;0.0
24/11/2020;28.75;26.5;27.416.666.666.666.600;0.0
25/11/2020;30.0;27.5;286.875;0.0
26/11/2020;30.0;27.333.333.333.333.300;28.416.666.666.666.600;0.0
27/11/2020;28.5;27.0;27.6;2.6
28/11/2020;28.25;26.0;27.083.333.333.333.300;0.0
29/11/2020;29.666.666.666.666.600;26.0;27.472.222.222.222.200;0.4
30/11/2020;28.0;27.4;2.773.333.333.333.330;0.0
01/12/2020;28.75;26.5;27.625;0.0
02/12/2020;28.0;26.6;27.383.333.333.333.300;0.0
03/12/2020;28.0;26.75;27.5;0.0
04/12/2020;30.2;28.0;29.25;0.0
05/12/2020;29.0;26.5;28.104.166.666.666.600;0.0
06/12/2020;28.0;25.8;26.7;0.2
07/12/2020;29.8;27.6;28.633.333.333.333.300;0.2
08/12/2020;28.4;26.4;27.15;0.0
09/12/2020;29.6;26.4;27.916.666.666.666.600;0.0
10/12/2020;30.666.666.666.666.600;25.333.333.333.333.300;2.757.777.777.777.770;0.0
11/12/2020;28.25;27.25;27.75;0.0
12/12/2020;28.5;26.0;27.25;0.6
13/12/2020;27.5;26.75;27.125;0.6
14/12/2020;30.0;27.25;28.520.833.333.333.300;0.0
15/12/2020;29.25;27.25;28.375;1.0
16/12/2020;28.25;25.5;268.125;0.0
17/12/2020;30.0;26.333.333.333.333.300;27.75;0.0
18/12/2020;31.0;26.333.333.333.333.300;28.583.333.333.333.300;0.0
19/12/2020;27.333.333.333.333.300;27.333.333.333.333.300;27.333.333.333.333.300;0.0
20/12/2020;26.5;26.25;26.375;0.0
21/12/2020;28.75;26.0;272.625;1.0
22/12/2020;29.75;26.25;283.125;0.0
23/12/2020;29.75;27.5;28.520.833.333.333.300;0.6
24/12/2020;28.75;27.0;27.916.666.666.666.600;0.0
25/12/2020;27.4;26.2;26.866.666.666.666.600;0.0
26/12/2020;28.6;26.6;27.5;0.0
27/12/2020;29.5;26.75;28.0;0.0
28/12/2020;27.6;25.8;26.55;0.8
29/12/2020;29.333.333.333.333.300;28.0;28.722.222.222.222.200;0.4
30/12/2020;28.8;26.2;27.4;0.0
31/12/2020;29.75;25.0;269.375;0.4
01/01/2022;28.8;25.6;27.143.333.333.333.300;0.2
02/01/2022;29.0;28.0;28.5;0.0
03/01/2022;29.0;27.25;28.020.833.333.333.300;0.0
04/01/2022;28.75;27.25;27.958.333.333.333.300;0.2
05/01/2022;29.4;25.6;27.133.333.333.333.300;0.8
06/01/2022;28.2;25.4;2.693.333.333.333.330;0.0
07/01/2022;29.5;26.25;27.958.333.333.333.300;0.0
08/01/2022;28.25;27.25;27.625;0.0
09/01/2022;30.0;26.25;28.0;0.0
10/01/2022;30.75;26.25;28.708.333.333.333.300;0.0
11/01/2022;29.333.333.333.333.300;27.333.333.333.333.300;28.666.666.666.666.600;1.2
12/01/2022;28.0;25.75;26.625;0.4
13/01/2022;26.0;26.0;26.0;0.2
14/01/2022;29.25;26.0;27.5;0.6
15/01/2022;29.0;27.0;279.375;0.6
16/01/2022;29.25;27.0;27.875;0.0
17/01/2022;27.5;27.0;27.25;0.0
18/01/2022;28.75;26.5;27.375;0.6
19/01/2022;29.0;27.75;28.416.666.666.666.600;0.0
20/01/2022;29.75;27.75;28.833.333.333.333.300;0.0
